base_currency,base_country_code,target_currency,target_country_code,target_symbol,rate,ref_date
USD,US,KRW,KR,₩,1523.7567,20260611
USD,US,JPY,JP,¥,160.279502,20260611
USD,US,EUR,EU,€,0.865865,20260611
USD,US,CNY,CN,¥,6.785295,20260611
USD,US,GBP,GB,£,0.74738,20260611
USD,US,HKD,HK,HK$,7.837097,20260611
USD,US,SGD,SG,S$,1.28672,20260611
USD,US,THB,TH,฿,32.879221,20260611
USD,US,TWD,TW,NT$,31.580042,20260611
USD,US,PHP,PH,₱,61.536241,20260611
USD,US,IDR,ID,Rp,17997.186474,20260611
USD,US,MYR,MY,RM,4.061423,20260611
USD,US,VND,VN,₫,26217.201476,20260611
USD,US,AUD,AU,A$,1.422139,20260611
USD,US,CAD,CA,C$,1.394379,20260611
USD,US,NZD,NZ,NZ$,1.7195,20260611
USD,US,RUB,RU,₽,72.02998,20260611
USD,US,KZT,KZ,₸,487.704102,20260611
USD,US,CZK,CZ,Kč,20.920996,20260611
USD,US,UZS,UZ,so'm,11969.671489,20260611
USD,US,CHF,CH,Fr.,0.798073,20260611
USD,US,MXN,MX,$,17.430625,20260611
USD,US,BRL,BR,R$,5.173573,20260611
USD,US,AED,AE,د.إ,3.6725,20260611
USD,US,SAR,SA,ر.س,3.75,20260611
USD,US,INR,IN,₹,95.40519,20260611
USD,US,TRY,TR,₺,46.126087,20260611
USD,US,ZAR,ZA,R,16.504187,20260611
